model,store_id,sku_id,n,actual_units,mape_coverage,wape,mape,mae,rmse,smape,bias
catboost,STORE0002,SKU0074,14,857.0,1.0,0.22474107385335426,0.2712319604330436,13.757364306594614,15.849840343655067,0.2374517089049301,0.05175336350681525
catboost,STORE0002,SKU0075,14,387.0,1.0,0.23371784044343602,0.23540159113328016,6.460628875114982,7.7048006893295256,0.2320623354517176,-0.03070963623829313
catboost,STORE0002,SKU0078,14,287.0,1.0,0.29079116662639826,0.44223669029783513,5.961218915841164,7.648029339209937,0.3017920879052588,0.22794006963340033
catboost,STORE0002,SKU0079,14,829.0,1.0,0.31648425491475235,0.6489504807439389,18.740389094594978,22.380392102973968,0.3522565461559049,0.029320859973948513
catboost,STORE0002,SKU0081,14,766.0,1.0,0.28365522614847943,1.3279460247401769,15.51999308783823,19.391248455513928,0.34884949248040314,-0.01602845407658833
catboost,STORE0002,SKU0082,14,632.0,1.0,0.29339241423941176,0.4460682404229222,13.244571842807732,15.345275574372469,0.3302410729080138,0.0025947603678328148
catboost,STORE0002,SKU0083,14,884.0,1.0,0.2757493863413403,0.34733884014709665,17.41160410898177,20.980738194234696,0.2708356515583349,0.19829380791840556
catboost,STORE0002,SKU0084,14,259.0,1.0,0.36941283118873725,0.7275784973187386,6.834137376991639,8.483177106972603,0.4138178825572259,0.16831505445271114
catboost,STORE0002,SKU0086,14,104.0,1.0,0.4718075253618921,0.7618235734962274,3.504855902688341,4.225925667972889,0.47432891382764747,0.055186201907153315
catboost,STORE0002,SKU0087,14,272.0,1.0,0.35397380957152563,0.6206893927838381,6.877205443103926,8.409558581338281,0.37534773479150235,0.16537671412631513
catboost,STORE0002,SKU0088,14,317.0,1.0,0.2700361667063735,0.2513930393802357,6.114390346137171,7.611511941873886,0.2751702478005834,-0.16445155909964984
catboost,STORE0002,SKU0089,14,503.0,1.0,0.30895428232730865,1.2705904432749286,11.100286000759732,13.534015984103041,0.3646907127328375,-0.08473699935195259
catboost,STORE0002,SKU0090,14,207.0,1.0,0.31095179272094237,1.2956390163498448,4.597644363802504,5.8856146119042725,0.3493090075785571,0.10644977431857901
catboost,STORE0002,SKU0092,14,941.0,1.0,0.251037649149075,0.8774626303871251,16.873316274948543,23.519105860706496,0.298137123269136,0.1177223403554022
catboost,STORE0002,SKU0093,14,797.0,1.0,0.22607605754157414,0.3924838139841301,12.870186990045328,17.399928628265027,0.2503603455819187,0.1020375723653537
catboost,STORE0002,SKU0096,14,950.0,1.0,0.2397877657365285,0.37765239214471086,16.27131267497872,23.06958043961435,0.2481150607675482,0.09826800832286568
catboost,STORE0002,SKU0097,14,727.0,1.0,0.19361710151146136,0.22127939383260053,10.054259485630885,12.749479089417699,0.18722922341023268,0.14046545250484843
catboost,STORE0002,SKU0098,14,446.0,1.0,0.30424083545033404,0.4329161192734266,9.692243757917783,11.767340400561418,0.32027478610252524,0.14842303745116847
catboost,STORE0002,SKU0099,14,1098.0,1.0,0.3640533779280764,0.8699321202959832,28.55218635464485,41.85181813225398,0.3596242153296971,0.029392144927992265
